date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,icu_patients,hosp_patients,weekly_hosp_admissions,daily_case_change_rate,daily_death_change_rate,hospitalization_rate,icu_rate,case_fatality_rate,7day_avg_new_cases,7day_avg_new_deaths,hospitalization_need,icu_requirement,hospitalization_need_num,icu_requirement_num
2022-01-01,54118933.0,584647.0,820389.0,1334.0,159977.995,2425.107,18863.0,96539.0,98909.0,1.0920982489614226,0.1628706252937836,0.1783830438785628,0.0348547152620322,1.515900174898127,354503.28571428574,1310.0,High,High,1,1
2022-01-02,54590898.0,471965.0,821733.0,1344.0,161373.145,2429.08,19606.0,102671.0,105297.0,0.8720885166010202,0.1638247221744806,0.1880734770107646,0.0359144119592976,1.5052564257140448,387434.0,1306.571428571429,High,High,1,1
2022-01-03,54893855.0,302957.0,822163.0,430.0,162268.7,2430.351,20341.0,108761.0,111116.0,0.5549588138301004,0.0523284327147625,0.1981296449302021,0.0370551494333928,1.497732305373707,414167.28571428574,1330.571428571429,High,High,1,1
2022-01-04,55284713.0,390858.0,822537.0,374.0,163424.093,2431.456,21040.0,114846.0,116770.0,0.7120250527130951,0.045489762978874,0.2077355452672785,0.0380575368094974,1.4878199693285918,439820.71428571426,1346.0,High,High,1,1
2022-01-05,56187104.0,902391.0,824209.0,1672.0,166091.602,2436.399,21529.0,121444.0,122379.0,1.6322613450123185,0.203273530552425,0.2161421240005535,0.0383166215507387,1.4669006610484854,502377.28571428574,1329.7142857142858,High,High,1,1
2022-01-06,56919618.0,732514.0,827049.0,2840.0,168256.946,2444.794,22134.0,126976.0,127757.0,1.3037048501378536,0.344572796463033,0.2230795013416991,0.038886416981927,1.4530122110095678,551377.2857142857,1402.428571428571,High,High,1,1
2022-01-07,57622408.0,702790.0,828895.0,1846.0,170334.425,2450.251,22862.0,131874.0,132838.0,1.2347061078308714,0.223203220123596,0.2288588842035202,0.0396755373361002,1.4384942052404337,584017.4285714285,1405.7142857142858,High,High,1,1
2022-01-08,58420844.0,798436.0,830983.0,2088.0,172694.637,2456.423,23139.0,133576.0,138339.0,1.38563456077712,0.2519016280711067,0.2286444201319652,0.0396074387422407,1.4224084129972514,614558.7142857143,1513.428571428571,High,High,1,1
2022-01-09,59273795.0,852951.0,833449.0,2466.0,175215.999,2463.713,23789.0,137251.0,141770.0,1.4600114301669451,0.2967569733676862,0.2315542644097614,0.0401340929832483,1.4061002842824557,668985.2857142857,1673.7142857142858,High,High,1,1
2022-01-10,59722538.0,448743.0,834318.0,869.0,176542.503,2466.281,24487.0,142248.0,144561.0,0.7570681107899367,0.1042655279447212,0.2381814383039113,0.0410012715802533,1.3969901948909136,689811.8571428572,1736.428571428571,High,High,1,1
2022-01-11,60209079.0,486541.0,835017.0,699.0,177980.74,2468.348,25081.0,145834.0,147336.0,0.8146689948106358,0.083781004365242,0.242212640389334,0.0416565083149669,1.3868622703894873,703480.8571428572,1782.857142857143,High,High,1,1
2022-01-12,61474599.0,1265520.0,836979.0,1962.0,181721.674,2474.147,25328.0,149670.0,149725.0,2.1018756988460163,0.2349652761560543,0.2434664112245774,0.0412007567548346,1.36150379769049,755356.4285714285,1824.2857142857144,High,High,1,1
2022-01-13,62278138.0,803539.0,840168.0,3189.0,184096.972,2483.574,25558.0,151006.0,151330.0,1.3071073468897292,0.3810131436989458,0.2424703191993312,0.0410384780611135,1.349057674139198,765502.8571428572,1874.142857142857,High,High,1,1
2022-01-14,63134018.0,855880.0,842648.0,2480.0,186626.991,2490.905,25734.0,152033.0,152933.0,1.3742864309783955,0.29517905942621,0.2408099544686035,0.0407609095939371,1.3346972467363,787372.8571428572,1964.7142857142856,High,High,1,1
2022-01-15,64026321.0,892303.0,844827.0,2179.0,189264.679,2497.347,25802.0,149478.0,153977.0,1.4133473969611754,0.2585895890098831,0.2334633595455219,0.040299051385445,1.319499522704108,800782.4285714285,1977.7142857142856,High,High,1,1
2022-01-16,64924728.0,898407.0,847829.0,3002.0,191920.41,2506.221,25867.0,149973.0,153366.0,1.403183856214384,0.3553390220719745,0.2309951918473959,0.0398415223241289,1.3058645390089274,807276.1428571428,2054.285714285714,High,High,1,1
2022-01-17,65390685.0,465957.0,849209.0,1380.0,193297.8,2510.3,26077.0,150873.0,151820.0,0.7176880278959351,0.1627686715127697,0.2307255230618856,0.0398787686655981,1.2986696805515954,809735.2857142857,2127.285714285714,High,High,1,1
2022-01-18,65809422.0,418737.0,850082.0,873.0,194535.606,2512.881,26372.0,153220.0,151023.0,0.6403618497038225,0.1028015482643259,0.2328238044698219,0.0400732892016586,1.2917329679631588,800049.0,2152.1428571428573,High,High,1,1
2022-01-19,66777887.0,968465.0,851535.0,1453.0,197398.432,2517.176,26458.0,154497.0,149989.0,1.4716205834477625,0.1709246872654638,0.2313595217530617,0.0396209002540017,1.2751751189731415,757612.5714285715,2079.4285714285716,High,High,1,1
2022-01-20,67634180.0,856293.0,854177.0,2642.0,199929.672,2524.986,26283.0,152923.0,148735.0,1.2823002321112675,0.3102632305190039,0.2261031330608281,0.0388605288036315,1.2629368759996795,765148.8571428572,2001.2857142857144,High,High,1,1
2022-01-21,68414646.0,780466.0,857436.0,3259.0,202236.765,2534.619,26023.0,150229.0,146407.0,1.1539520402258148,0.3815368477493541,0.2195860225601401,0.0380371770103144,1.253293044883986,754375.4285714285,2112.5714285714284,High,High,1,1
2022-01-22,69191136.0,776490.0,860337.0,2901.0,204532.104,2543.195,25679.0,145668.0,143652.0,1.1349762739399396,0.3383342896729318,0.2105298574661355,0.0371131354166522,1.2434208335587955,737830.7142857143,2215.714285714286,High,High,1,1
